Film	Chapter	Character	Race	Words
The Fellowship Of The Ring	01: Prologue	Bilbo	Hobbit	4
The Fellowship Of The Ring	01: Prologue	Elrond	Elf	5
The Fellowship Of The Ring	01: Prologue	Galadriel	Elf	460
The Fellowship Of The Ring	02: Concerning Hobbits	Bilbo	Hobbit	214
The Fellowship Of The Ring	03: The Shire	Bilbo	Hobbit	70
The Fellowship Of The Ring	03: The Shire	Frodo	Hobbit	128
The Fellowship Of The Ring	03: The Shire	Gandalf	Wizard	197
The Fellowship Of The Ring	03: The Shire	Hobbit Kids	Hobbit	10
The Fellowship Of The Ring	03: The Shire	Hobbits	Hobbit	12
The Fellowship Of The Ring	04: Very Old Friends	Bilbo	Hobbit	339
The Fellowship Of The Ring	04: Very Old Friends	Gandalf	Wizard	64
The Fellowship Of The Ring	04: Very Old Friends	Lobelia Sackville-Baggins	Hobbit	8
The Fellowship Of The Ring	05: A Long Expected Party	Bilbo	Hobbit	326
The Fellowship Of The Ring	05: A Long Expected Party	Frodo	Hobbit	32
The Fellowship Of The Ring	05: A Long Expected Party	Gandalf	Wizard	12
The Fellowship Of The Ring	05: A Long Expected Party	Hobbits	Hobbit	8
The Fellowship Of The Ring	05: A Long Expected Party	Lobelia Sackville-Baggins	Hobbit	1
The Fellowship Of The Ring	05: A Long Expected Party	Merry	Hobbit	19
The Fellowship Of The Ring	05: A Long Expected Party	Mrs. Bracegirdle	Hobbit	2
The Fellowship Of The Ring	05: A Long Expected Party	Pippin	Hobbit	15
The Fellowship Of The Ring	05: A Long Expected Party	Proudfoot	Hobbit	1
The Fellowship Of The Ring	05: A Long Expected Party	Sam	Hobbit	7
The Fellowship Of The Ring	06: Farewell Dear Bilbo	Bilbo	Hobbit	182
The Fellowship Of The Ring	06: Farewell Dear Bilbo	Gandalf	Wizard	148
The Fellowship Of The Ring	07: Keep It Secret, Keep It Safe	Bilbo	Hobbit	6
The Fellowship Of The Ring	07: Keep It Secret, Keep It Safe	Frodo	Hobbit	33
The Fellowship Of The Ring	07: Keep It Secret, Keep It Safe	Gandalf	Wizard	60
The Fellowship Of The Ring	08: The Account of Isildur	Gandalf	Wizard	107
The Fellowship Of The Ring	08: The Account of Isildur	Hobbits	Hobbit	12
The Fellowship Of The Ring	09: At The Green Dragon	Frodo	Hobbit	17
The Fellowship Of The Ring	09: At The Green Dragon	Gaffer	Hobbit	21
The Fellowship Of The Ring	09: At The Green Dragon	Hobbits	Hobbit	53
The Fellowship Of The Ring	09: At The Green Dragon	Merry	Hobbit	53
The Fellowship Of The Ring	09: At The Green Dragon	Pippin	Hobbit	61
The Fellowship Of The Ring	09: At The Green Dragon	Rosie	Hobbit	3
The Fellowship Of The Ring	09: At The Green Dragon	Sam	Hobbit	10
The Fellowship Of The Ring	09: At The Green Dragon	Sandyman	Hobbit	17
The Fellowship Of The Ring	09: At The Green Dragon	Ted	Hobbit	55
The Fellowship Of The Ring	10: The Shadow Of The Past	Bilbo	Hobbit	28
The Fellowship Of The Ring	10: The Shadow Of The Past	Frodo	Hobbit	139
The Fellowship Of The Ring	10: The Shadow Of The Past	Gandalf	Wizard	541
The Fellowship Of The Ring	10: The Shadow Of The Past	Hobbits	Hobbit	3
The Fellowship Of The Ring	10: The Shadow Of The Past	Sam	Hobbit	84
The Fellowship Of The Ring	11: The Passing Of The Elves	Frodo	Hobbit	43
The Fellowship Of The Ring	11: The Passing Of The Elves	Sam	Hobbit	40
The Fellowship Of The Ring	12: Saruman The White	Gandalf	Wizard	85
The Fellowship Of The Ring	12: Saruman The White	Saruman	Wizard	274
The Fellowship Of The Ring	13: A Shortcut To Mushrooms	Farmer Maggot	Hobbit	21
The Fellowship Of The Ring	13: A Shortcut To Mushrooms	Frodo	Hobbit	37
The Fellowship Of The Ring	13: A Shortcut To Mushrooms	Merry	Hobbit	58
The Fellowship Of The Ring	13: A Shortcut To Mushrooms	Pippin	Hobbit	32
The Fellowship Of The Ring	13: A Shortcut To Mushrooms	Sam	Hobbit	48
The Fellowship Of The Ring	14: Buckleberry Ferry	Frodo	Hobbit	20
The Fellowship Of The Ring	14: Buckleberry Ferry	Merry	Hobbit	43
The Fellowship Of The Ring	14: Buckleberry Ferry	Pippin	Hobbit	14
The Fellowship Of The Ring	14: Buckleberry Ferry	Sam	Hobbit	9
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Aragorn	Man	76
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Frodo	Hobbit	68
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Gatekeeper	Man	38
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Innkeeper	Man	76
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Man	Man	13
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Merry	Hobbit	6
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Pippin	Hobbit	39
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Sam	Hobbit	30
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	Voice Of The Ring	Wizard	19
The Fellowship Of The Ring	16: The Nazgul	Aragorn	Man	96
The Fellowship Of The Ring	16: The Nazgul	Frodo	Hobbit	29
The Fellowship Of The Ring	16: The Nazgul	Merry	Hobbit	28
The Fellowship Of The Ring	16: The Nazgul	Pippin	Hobbit	25
The Fellowship Of The Ring	16: The Nazgul	Sam	Hobbit	17
The Fellowship Of The Ring	17: The Midgewater Marshes	Aragorn	Man	33
The Fellowship Of The Ring	17: The Midgewater Marshes	Frodo	Hobbit	12
The Fellowship Of The Ring	17: The Midgewater Marshes	Merry	Hobbit	9
The Fellowship Of The Ring	18: The Spoiling Of Isengard	Orc	Orc	20
The Fellowship Of The Ring	18: The Spoiling Of Isengard	Saruman	Wizard	22
The Fellowship Of The Ring	18: The Spoiling Of Isengard	Voice Of Sauron	Wizard	7
The Fellowship Of The Ring	19: A Knife In The Dark	Aragorn	Man	53
The Fellowship Of The Ring	19: A Knife In The Dark	Frodo	Hobbit	16
The Fellowship Of The Ring	19: A Knife In The Dark	Merry	Hobbit	13
The Fellowship Of The Ring	19: A Knife In The Dark	Pippin	Hobbit	12
The Fellowship Of The Ring	19: A Knife In The Dark	Sam	Hobbit	24
The Fellowship Of The Ring	20: The Caverns Of Isengard	Gandalf	Wizard	5
The Fellowship Of The Ring	21: Flight To The Ford	Aragorn	Man	48
The Fellowship Of The Ring	21: Flight To The Ford	Arwen	Elf	131
The Fellowship Of The Ring	21: Flight To The Ford	Merry	Hobbit	5
The Fellowship Of The Ring	21: Flight To The Ford	Pippin	Hobbit	9
The Fellowship Of The Ring	21: Flight To The Ford	Sam	Hobbit	34
The Fellowship Of The Ring	22: Rivendell	Elrond	Elf	7
The Fellowship Of The Ring	23: Many Meetings	Bilbo	Hobbit	36
The Fellowship Of The Ring	23: Many Meetings	Elrond	Elf	5
The Fellowship Of The Ring	23: Many Meetings	Frodo	Hobbit	107
The Fellowship Of The Ring	23: Many Meetings	Gandalf	Wizard	104
The Fellowship Of The Ring	23: Many Meetings	Sam	Hobbit	63
The Fellowship Of The Ring	23: Many Meetings	Saruman	Wizard	33
The Fellowship Of The Ring	24: The Fate Of The Ring	Elrond	Elf	260
The Fellowship Of The Ring	24: The Fate Of The Ring	Gandalf	Wizard	102
The Fellowship Of The Ring	24: The Fate Of The Ring	Isildur	Man	1
The Fellowship Of The Ring	25: The Sword That Was Broken	Aragorn	Man	25
The Fellowship Of The Ring	25: The Sword That Was Broken	Arwen	Elf	47
The Fellowship Of The Ring	25: The Sword That Was Broken	Boromir	Man	39
The Fellowship Of The Ring	26: The Evenstar	Aragorn	Man	24
The Fellowship Of The Ring	26: The Evenstar	Arwen	Elf	57
The Fellowship Of The Ring	27: The Council Of Elrond	Aragorn	Man	40
The Fellowship Of The Ring	27: The Council Of Elrond	Boromir	Man	220
The Fellowship Of The Ring	27: The Council Of Elrond	Elrond	Elf	167
The Fellowship Of The Ring	27: The Council Of Elrond	Frodo	Hobbit	24
The Fellowship Of The Ring	27: The Council Of Elrond	Gandalf	Wizard	85
The Fellowship Of The Ring	27: The Council Of Elrond	Gimli	Dwarf	38
The Fellowship Of The Ring	27: The Council Of Elrond	Legolas	Elf	34
The Fellowship Of The Ring	27: The Council Of Elrond	Man	Man	4
The Fellowship Of The Ring	27: The Council Of Elrond	Merry	Hobbit	24
The Fellowship Of The Ring	27: The Council Of Elrond	Pippin	Hobbit	18
The Fellowship Of The Ring	27: The Council Of Elrond	Sam	Hobbit	8
The Fellowship Of The Ring	27: The Council Of Elrond	Voice Of The Ring	Wizard	12
The Fellowship Of The Ring	28: Gilraen's Memorial	Aragorn	Man	11
The Fellowship Of The Ring	28: Gilraen's Memorial	Elrond	Elf	65
The Fellowship Of The Ring	29: Bilbo's Gifts	Bilbo	Hobbit	105
The Fellowship Of The Ring	29: Bilbo's Gifts	Frodo	Hobbit	3
The Fellowship Of The Ring	30: The Departure Of The Fellowship	Elrond	Elf	48
The Fellowship Of The Ring	30: The Departure Of The Fellowship	Frodo	Hobbit	7
The Fellowship Of The Ring	30: The Departure Of The Fellowship	Gandalf	Wizard	7
The Fellowship Of The Ring	31: The Ring Goes South	Aragorn	Man	12
The Fellowship Of The Ring	31: The Ring Goes South	Boromir	Man	15
The Fellowship Of The Ring	31: The Ring Goes South	Gandalf	Wizard	68
The Fellowship Of The Ring	31: The Ring Goes South	Gimli	Dwarf	47
The Fellowship Of The Ring	31: The Ring Goes South	Legolas	Elf	3
The Fellowship Of The Ring	31: The Ring Goes South	Merry	Hobbit	17
The Fellowship Of The Ring	31: The Ring Goes South	Pippin	Hobbit	10
The Fellowship Of The Ring	31: The Ring Goes South	Sam	Hobbit	3
The Fellowship Of The Ring	32: The Pass Of Caradhras	Aragorn	Man	30
The Fellowship Of The Ring	32: The Pass Of Caradhras	Boromir	Man	61
The Fellowship Of The Ring	32: The Pass Of Caradhras	Frodo	Hobbit	6
The Fellowship Of The Ring	32: The Pass Of Caradhras	Gandalf	Wizard	18
The Fellowship Of The Ring	32: The Pass Of Caradhras	Gimli	Dwarf	19
The Fellowship Of The Ring	32: The Pass Of Caradhras	Legolas	Elf	8
The Fellowship Of The Ring	32: The Pass Of Caradhras	Saruman	Wizard	68
The Fellowship Of The Ring	33: Moria	Aragorn	Man	31
The Fellowship Of The Ring	33: Moria	Boromir	Man	31
The Fellowship Of The Ring	33: Moria	Frodo	Hobbit	30
The Fellowship Of The Ring	33: Moria	Gandalf	Wizard	202
The Fellowship Of The Ring	33: Moria	Gimli	Dwarf	52
The Fellowship Of The Ring	33: Moria	Legolas	Elf	7
The Fellowship Of The Ring	33: Moria	Merry	Hobbit	9
The Fellowship Of The Ring	33: Moria	Pippin	Hobbit	11
The Fellowship Of The Ring	33: Moria	Sam	Hobbit	7
The Fellowship Of The Ring	34: A Journey In The Dark	Frodo	Hobbit	39
The Fellowship Of The Ring	34: A Journey In The Dark	Gandalf	Wizard	349
The Fellowship Of The Ring	34: A Journey In The Dark	Gimli	Dwarf	6
The Fellowship Of The Ring	34: A Journey In The Dark	Merry	Hobbit	8
The Fellowship Of The Ring	34: A Journey In The Dark	Pippin	Hobbit	10
The Fellowship Of The Ring	34: A Journey In The Dark	Sam	Hobbit	7
The Fellowship Of The Ring	35: Balin's Tomb	Aragorn	Man	22
The Fellowship Of The Ring	35: Balin's Tomb	Boromir	Man	5
The Fellowship Of The Ring	35: Balin's Tomb	Frodo	Hobbit	8
The Fellowship Of The Ring	35: Balin's Tomb	Gandalf	Wizard	89
The Fellowship Of The Ring	35: Balin's Tomb	Gimli	Dwarf	37
The Fellowship Of The Ring	35: Balin's Tomb	Legolas	Elf	8
The Fellowship Of The Ring	35: Balin's Tomb	Sam	Hobbit	13
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	Aragorn	Man	45
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	Boromir	Man	17
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	Frodo	Hobbit	4
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	Gandalf	Wizard	83
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	Gimli	Dwarf	7
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	Legolas	Elf	4
The Fellowship Of The Ring	37: Lothlorien	Aragorn	Man	26
The Fellowship Of The Ring	37: Lothlorien	Boromir	Man	27
The Fellowship Of The Ring	37: Lothlorien	Galadriel	Elf	19
The Fellowship Of The Ring	37: Lothlorien	Gimli	Dwarf	84
The Fellowship Of The Ring	37: Lothlorien	Haldir	Elf	51
The Fellowship Of The Ring	37: Lothlorien	Legolas	Elf	7
The Fellowship Of The Ring	37: Lothlorien	Sam	Hobbit	2
The Fellowship Of The Ring	38: Caras Galadhon	Aragorn	Man	16
The Fellowship Of The Ring	38: Caras Galadhon	Boromir	Man	149
The Fellowship Of The Ring	38: Caras Galadhon	Celeborn	Elf	61
The Fellowship Of The Ring	38: Caras Galadhon	Galadriel	Elf	135
The Fellowship Of The Ring	38: Caras Galadhon	Haldir	Elf	19
The Fellowship Of The Ring	38: Caras Galadhon	Legolas	Elf	41
The Fellowship Of The Ring	38: Caras Galadhon	Merry	Hobbit	6
The Fellowship Of The Ring	38: Caras Galadhon	Sam	Hobbit	49
The Fellowship Of The Ring	39: The Mirror Of Galadriel	Frodo	Hobbit	36
The Fellowship Of The Ring	39: The Mirror Of Galadriel	Galadriel	Elf	214
The Fellowship Of The Ring	40: The Fighting Uruk-hai	Lurtz	Orc	1
The Fellowship Of The Ring	40: The Fighting Uruk-hai	Saruman	Wizard	83
The Fellowship Of The Ring	41: Farewell To Lorien	Aragorn	Man	13
The Fellowship Of The Ring	41: Farewell To Lorien	Celeborn	Elf	99
The Fellowship Of The Ring	41: Farewell To Lorien	Galadriel	Elf	166
The Fellowship Of The Ring	41: Farewell To Lorien	Gimli	Dwarf	81
The Fellowship Of The Ring	41: Farewell To Lorien	Legolas	Elf	20
The Fellowship Of The Ring	41: Farewell To Lorien	Merry	Hobbit	5
The Fellowship Of The Ring	41: Farewell To Lorien	Pippin	Hobbit	1
The Fellowship Of The Ring	41: Farewell To Lorien	Sam	Hobbit	13
The Fellowship Of The Ring	42: The Great River	Aragorn	Man	64
The Fellowship Of The Ring	42: The Great River	Boromir	Man	103
The Fellowship Of The Ring	42: The Great River	Frodo	Hobbit	16
The Fellowship Of The Ring	42: The Great River	Sam	Hobbit	37
The Fellowship Of The Ring	43: Parth Galen	Aragorn	Man	79
The Fellowship Of The Ring	43: Parth Galen	Boromir	Man	202
The Fellowship Of The Ring	43: Parth Galen	Frodo	Hobbit	54
The Fellowship Of The Ring	43: Parth Galen	Gimli	Dwarf	48
The Fellowship Of The Ring	43: Parth Galen	Legolas	Elf	31
The Fellowship Of The Ring	43: Parth Galen	Merry	Hobbit	2
The Fellowship Of The Ring	43: Parth Galen	Voice Of The Ring	Wizard	3
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Aragorn	Man	2
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Boromir	Man	2
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Legolas	Elf	6
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Lurtz	Orc	6
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Merry	Hobbit	18
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Pippin	Hobbit	17
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	Sam	Hobbit	2
The Fellowship Of The Ring	45: The Departure Of Boromir	Aragorn	Man	72
The Fellowship Of The Ring	45: The Departure Of Boromir	Boromir	Man	72
The Fellowship Of The Ring	46: The Road Goes Ever On…	Aragorn	Man	102
The Fellowship Of The Ring	46: The Road Goes Ever On…	Frodo	Hobbit	59
The Fellowship Of The Ring	46: The Road Goes Ever On…	Gandalf	Wizard	34
The Fellowship Of The Ring	46: The Road Goes Ever On…	Gimli	Dwarf	12
The Fellowship Of The Ring	46: The Road Goes Ever On…	Legolas	Elf	15
The Fellowship Of The Ring	46: The Road Goes Ever On…	Sam	Hobbit	50
The Two Towers	01: The Foundations Of Stone	Boromir	Man	2
The Two Towers	01: The Foundations Of Stone	Frodo	Hobbit	9
The Two Towers	01: The Foundations Of Stone	Gandalf	Wizard	39
The Two Towers	01: The Foundations Of Stone	Sam	Hobbit	5
The Two Towers	02: Elven Rope	Frodo	Hobbit	46
The Two Towers	02: Elven Rope	Sam	Hobbit	97
The Two Towers	03: The Taming of Sméagol	Frodo	Hobbit	123
The Two Towers	03: The Taming of Sméagol	Sam	Hobbit	181
The Two Towers	04: The Uruk-Hai	Grishnakh	Orc	10
The Two Towers	04: The Uruk-Hai	Mauhur	Orc	2
The Two Towers	04: The Uruk-Hai	Merry	Hobbit	19
The Two Towers	04: The Uruk-Hai	Pippin	Hobbit	26
The Two Towers	04: The Uruk-Hai	Ugluk	Orc	51
The Two Towers	05: The Three Hunters	Aragorn	Man	59
The Two Towers	05: The Three Hunters	Gimli	Dwarf	35
The Two Towers	05: The Three Hunters	Legolas	Elf	25
The Two Towers	06: The Burning of the Westfold	Eothain	Man	2
The Two Towers	06: The Burning of the Westfold	Freda	Man	24
The Two Towers	06: The Burning of the Westfold	Morwen	Man	37
The Two Towers	06: The Burning of the Westfold	Orc	Orc	29
The Two Towers	06: The Burning of the Westfold	Saruman	Wizard	187
The Two Towers	06: The Burning of the Westfold	Wild Man	Man	11
The Two Towers	07: Massacre at the Fords of Isen	Eomer	Man	13
The Two Towers	07: Massacre at the Fords of Isen	Rohan Warrior	Man	10
The Two Towers	08: The Banishment of Éomer	Eomer	Man	88
The Two Towers	08: The Banishment of Éomer	Eowyn	Man	8
