# Program:featureCounts v1.4.4; Command:"featureCounts" "-a" "chr4.gtf" "-o" "counts.txt" "-t" "exon" "-g" "gene_name" "-T" "16" "trimmed_ctl1.fastq_tophat/accepted_hits.bam" "trimmed_ctl2.fastq_tophat/accepted_hits.bam" "trimmed_ctl3.fastq_tophat/accepted_hits.bam" "trimmed_uvb1.fastq_tophat/accepted_hits.bam" "trimmed_uvb2.fastq_tophat/accepted_hits.bam" "trimmed_uvb3.fastq_tophat/accepted_hits.bam" 
Geneid	Chr	Start	End	Strand	Length	trimmed_ctl1.fastq_tophat/accepted_hits.bam	trimmed_ctl2.fastq_tophat/accepted_hits.bam	trimmed_ctl3.fastq_tophat/accepted_hits.bam	trimmed_uvb1.fastq_tophat/accepted_hits.bam	trimmed_uvb2.fastq_tophat/accepted_hits.bam	trimmed_uvb3.fastq_tophat/accepted_hits.bam
BNIP3P41	4	49096	50124	-	1029	0	0	0	0	0	0
ZNF595	4;4;4;4;4	53285;59430;60058;67840;85731	53491;59556;60514;68500;88211	+;+;+;+;+	3933	0	0	0	0	0	0
AC253576.1	4	65125	65233	+	109	0	0	0	0	0	0
Z95704.3	4	105959	107114	-	1156	0	0	0	0	0	0
ZNF718	4;4;4;4	124480;130788;131410;160912	125296;130914;131505;163989	+;+;+;+	4118	0	0	0	0	0	0
AC253576.2	4	136461	136568	+	108	0	0	0	0	0	0
CH17-262A2.1	4	149738	150317	+	580	0	0	0	0	0	0
RP11-1365D11.1	4;4	201409;204640	201988;205009	-;-	950	0	0	0	0	0	0
ZNF876P	4;4;4;4	212610;218650;219307;253560	212781;218776;219385;255985	+;+;+;+	2804	0	0	0	0	0	0
AC079140.1	4	224215	224323	+	109	0	0	0	0	0	0
RP11-478C6.6	4	268982	269531	-	550	0	0	0	0	0	0
RP11-478C6.5	4	269866	270175	-	310	0	0	0	0	0	0
ZNF732	4;4;4;4	270675;295438;296029;305308	272630;295533;296155;305321	-;-;-;-	2193	0	0	0	0	0	0
RP11-478C6.1	4	336258	336786	-	529	0	0	0	0	0	0
ZNF141	4;4;4;4;4;4;4	337814;343782;344335;358208;372664;378039;382621	337986;343908;344430;358550;375258;378204;384864	+;+;+;+;+;+;+	5744	0	0	0	0	0	0
RP11-478C6.2	4	338097	338583	-	487	0	0	0	0	0	0
RP11-478C6.4	4	342821	342962	-	142	0	0	0	0	0	0
MIR571	4	350157	350252	+	96	0	0	0	0	0	0
ZNF519P4	4	393534	393658	+	125	0	0	0	0	0	0
AC092574.1	4	409809	409915	+	107	0	0	0	0	0	0
RP11-2H3.6	4	416118	416537	-	420	0	0	0	0	0	0
ABCA11P	4;4;4;4	425435;437446;472575;473981	427882;437511;472701;474129	-;-;-;-	2790	0	0	0	0	0	0
ZNF721	4;4;4;4;4;4;4;4	425815;435770;437446;438584;439988;472575;473981;499056	427119;435879;437511;438632;444432;472701;474167;499156	-;-;-;-;-;-;-;-	6390	0	0	0	0	0	0
AC092574.2	4	467528	467636	-	109	0	0	0	0	0	0
PIGG	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	499210;500396;501101;501597;505718;506761;507405;508829;515973;521051;521660;523459;524560;525365;526950;530436;530840;536259;536705;537291;539153	500047;500601;501171;502329;505927;506866;507593;508970;516185;521273;522843;523913;524911;525837;527540;530745;533981;536314;536988;537363;540196	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10895	0	0	0	0	0	0
RP11-1263C18.1	4	573880	574412	-	533	0	0	0	0	0	0
PDE6B	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	625584;634677;635880;651559;651985;652273;653177;653437;653852;654080;654824;655940;656245;656874;657351;658952;660467;662134;662509;663100;663723;664881;665255;666531;667856;670046	626094;634829;635969;651757;652088;652553;653319;653707;653992;654669;654888;656006;656292;657023;657494;659017;660613;662241;662618;663187;664221;664944;665329;666614;668006;670782	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5086	0	0	0	0	0	0
RP11-1191J2.2	4;4;4;4	652850;653734;654065;655082	653683;653971;654213;655645	-;-;-;-	1785	0	0	0	0	0	0
RP11-1191J2.5	4	661209	661945	-	737	0	0	0	0	0	0
ATP5I	4;4;4;4	672436;673303;673912;674212	672519;673821;674121;674338	-;-;-;-	940	0	0	0	0	0	0
MYL5	4;4;4;4;4;4;4;4;4	673580;676073;677922;678189;678958;679914;680509;680746;681893	675854;676481;678029;678765;679173;680018;680587;681140;682033	+;+;+;+;+;+;+;+;+	4305	0	0	0	0	0	0
MFSD7	4;4;4;4;4;4;4;4;4;4;4;4	681829;682781;683210;683609;684483;684719;685835;686089;686532;687295;687909;688899	682376;682890;683367;683761;684602;685101;685911;686302;686690;687325;688056;689441	-;-;-;-;-;-;-;-;-;-;-;-	2644	0	0	0	0	0	0
PCGF3	4;4;4;4;4;4;4;4;4;4;4;4;4	705748;725107;730630;730952;732400;733672;737466;743474;743865;744600;761279;764984;766032	705970;725229;730668;731345;732498;735027;737540;743584;743952;744688;761416;765064;770640	+;+;+;+;+;+;+;+;+;+;+;+;+	7425	0	0	0	0	0	0
RP11-1191J2.4	4;4	722275;723629	722437;724034	-;-	569	0	0	0	0	0	0
RP11-440L14.4	4	757022	757740	-	719	0	0	0	0	0	0
RP11-440L14.1	4;4;4;4	762387;767141;780149;781772	762839;767615;780717;781849	-;-;-;-	1575	0	0	0	0	0	0
AC139887.4	4;4	764487;764912	764609;765074	-;-	286	0	0	0	0	0	0
CPLX1	4;4;4;4;4	784957;792433;804756;824492;826046	786698;792692;804908;824601;826198	-;-;-;-;-	2418	0	0	0	0	0	0
RP11-440L14.3	4	836512	837224	-	713	0	0	0	0	0	0
GAK	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	849276;849892;859362;859606;865122;866364;866956;868539;870711;872266;876530;877090;877615;881907;882697;883315;884037;885783;890532;893377;893874;896460;897976;904637;911673;912030;912462;913607;915498;932043	849774;853828;859493;859722;865244;866534;867432;869957;870904;872773;876609;877207;877809;882040;882819;883463;884390;888970;890622;893489;894827;896549;898158;904781;911842;912174;912794;914029;915756;932373	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	15155	0	0	0	1	0	0
TMEM175	4;4;4;4;4;4;4;4;4;4;4;4	932387;945999;947709;950421;951207;951646;952367;953190;955405;955755;956297;957824	932540;946126;948615;950518;951259;951973;952450;953354;955491;955944;956892;958656	+;+;+;+;+;+;+;+;+;+;+;+	3623	0	0	0	0	0	0
DGKQ	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	958885;961049;961467;961688;961982;962435;962772;963139;964073;965176;965491;965928;966466;966748;966964;967129;967549;967728;967875;968282;968479;968811;970993;973212;986806	960721;961201;961578;961834;962082;962613;962920;963290;964093;965291;965529;966301;966527;966802;967054;967361;967649;967802;968027;968407;968564;968910;971072;973560;986895	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4981	0	0	0	0	0	0
SLC26A1	4;4;4;4;4;4	979073;987657;990621;991128;992721;993301	979504;990362;990817;991730;992935;993440	-;-;-;-;-;-	4293	0	0	0	0	0	0
IDUA	4;4;4;4;4;4;4;4;4;4;4;4;4;4	986997;987809;989231;991825;999710;1000612;1000882;1001468;1001679;1002732;1003036;1003549;1004012;1004260	987242;987949;989623;992230;1000064;1000697;1001179;1001563;1002485;1002944;1003470;1003724;1004112;1004506	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4000	0	0	0	0	0	0
